,block_id,gadm_code,country_code,block_area,building_area,building_count,building_layers,k_complexity
297,GAB.1.1_1_297,GAB.1.1_1,GAB,3787.79,0.0,0,0,1
298,GAB.1.1_1_298,GAB.1.1_1,GAB,261690.33,0.0,0,0,1
299,GAB.1.1_1_299,GAB.1.1_1,GAB,3054.28,0.0,0,0,1
300,GAB.1.1_1_300,GAB.1.1_1,GAB,61439.58,0.0,0,0,1
301,GAB.1.1_1_301,GAB.1.1_1,GAB,40925.68,0.0,0,0,1
302,GAB.1.1_1_302,GAB.1.1_1,GAB,46718.16,0.0,0,0,1
303,GAB.1.1_1_303,GAB.1.1_1,GAB,424772.06,0.0,0,0,1
304,GAB.1.1_1_304,GAB.1.1_1,GAB,1039.84,0.0,1,1,1
305,GAB.1.1_1_305,GAB.1.1_1,GAB,64288.34,0.0,0,0,1
306,GAB.1.1_1_306,GAB.1.1_1,GAB,44.24,0.0,0,0,1
307,GAB.1.1_1_307,GAB.1.1_1,GAB,86368.87,0.0,1,1,1
308,GAB.1.1_1_308,GAB.1.1_1,GAB,16389.66,0.0,0,0,1
